DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
05/31/1935,,,,,,,,,,,,,,,,,,,,,,,,0.0214519658891,,,,,
06/30/1935,,,,,,,,,,,,,,,,,,,,,,,,-0.0590022808306,,,,,
07/31/1935,,,,,,,,,,,,,,,,,,,,,,,,0.0447385885667,,,,,
08/31/1935,,,,,,,,,,,,,,,,,,,,,,,,0.0872521904045,,,,,
09/30/1935,,,,,,,,,,,,,,,,,,,,,,,,-0.0584334497799,,,,,
10/31/1935,,,,,,,,,,,,,,,,,,,,,,,,-0.00213010210456,,,,,
11/30/1935,,,,,,,,,,,,,,,,,,,,,,,,0.132391837431,,,,,
12/31/1935,,,,,,,,,,,,,,,,,,,,,,,,0.00561474886339,,,,,
01/31/1936,,,,,,,,,,,,,,,,,,,,,,,,0.139994832625,,,,,
02/29/1936,,,,,,,,,,,,,,,,,,,,,,,,0.0405452379356,,,,,
03/31/1936,,,,,,,,,,,,,,,,,,,,,,,,-0.050436030253,,,,,
04/30/1936,,,,,,,,,,,,,,,,,,,,,,,,-0.0353119130338,,,,,
05/31/1936,,,,,,,,,,,,,,,,,,,,,,,,0.0234205890115,,,,,
06/30/1936,,,,,,,,,,,,,,,,,,,,,,,,-0.0188332107366,,,,,
07/31/1936,,,,,,,,,,,,,,,,,,,,,,,,0.0227012635691,,,,,
08/31/1936,,,,,,,,,,,,,,,,,,,,,,,,0.0230926470147,,,,,
09/30/1936,,,,,,,,,,,,,,,,,,,,,,,,0.00916275797684,,,,,
10/31/1936,,,,,,,,,,,,,,,,,,,,,,,,0.0155448238941,,,,,
11/30/1936,,,,,,,,,,,,,,,,,,,,,,,,0.00131068662269,,,,,
12/31/1936,,,,,,,,,,,,,,,,,,,,,,,,0.0622394017784,,,,,
01/31/1937,,,,,,,,,,,,,,,,,,,,,,,,0.0204165339912,,,,,
02/28/1937,,,,,,,,,,,,,,,,,,,,,,,,0.0425585841232,,,,,
03/31/1937,,,,,,,,,,,,,,,,,,,,,,,,0.0360223806106,,,,,
04/30/1937,,,,,,,,,,,,,,,,,,,,,,,,-0.0194996668839,,,,,
05/31/1937,,,,,,,,,,,,,,,,,,,,,,,,-0.0387052466842,,,,,
06/30/1937,,,,,,,,,,,,,,,,,,,,,,,,-0.0451061966464,,,,,
07/31/1937,,,,,,,,,,,,,,,,,,,,,,,,0.021862515431,,,,,
08/31/1937,,,,,,,,,,,,,,,,,,,,,,,,-0.0174459457608,,,,,
09/30/1937,,,,,,,,,,,,,,,,,,,,,,,,-0.0422591126956,,,,,
10/31/1937,,,,,,,,,,,,,,,,,,,,,,,,-0.0194485767997,,,,,
11/30/1937,,,,,,,,,,,,,,,,,,,,,,,,0.00125457442116,,,,,
12/31/1937,,,,,,,,,,,,,,,,,,,,,,,,-0.0414785260337,,,,,
01/31/1938,,,,,,,,,,,,,,,,,,,,,,,,0.00406493173151,,,,,
02/28/1938,,,,,,,,,,,,,,,,,,,,,,,,0.00652315065041,,,,,
03/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.0740999255016,,,,,
04/30/1938,,,,,,,,,,,,,,,,,,,,,,,,0.045122963089,,,,,
05/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.00395274059542,,,,,
06/30/1938,,,,,,,,,,,,,,,,,,,,,,,,0.0704810338971,,,,,
07/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.00443422233898,,,,,
08/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.0706166707919,,,,,
09/30/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.00476642668328,,,,,
10/31/1938,,,,,,,,,,,,,,,,,,,,,,,,0.0251690042454,,,,,
11/30/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.0220332956321,,,,,
12/31/1938,,,,,,,,,,,,,,,,,,,,,,,,-0.0119720461915,,,,,
01/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.0192272916137,,,,,
02/28/1939,,,,,,,,,,,,,,,,,,,,,,,,0.0126309567052,,,,,
03/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.0339782249692,,,,,
04/30/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.00144694252096,,,,,
05/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.0165004948861,,,,,
06/30/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.0432367932256,,,,,
07/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.00146946087817,,,,,
08/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.0164938088102,,,,,
09/30/1939,,,,,,,,,,,,,,,,,,,,,,,,0.329604794931,,,,,
10/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.048653093225,,,,,
11/30/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.0828374706535,,,,,
12/31/1939,,,,,,,,,,,,,,,,,,,,,,,,-0.0357371183611,,,,,
01/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.0206815191429,,,,,
02/29/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.00665536823954,,,,,
03/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.00554731303299,,,,,
04/30/1940,,,,,,,,,,,,,,,,,,,,,,,,0.0118329185526,,,,,
05/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.0411271482407,,,,,
06/30/1940,,,,,,,,,,,,,,,,,,,,,,,,0.0340078412407,,,,,
07/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.0217384890406,,,,,
08/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.0020466322235,,,,,
09/30/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.0198203046711,,,,,
10/31/1940,,,,,,,,,,,,,,,,,,,,,,,,0.0522076097355,,,,,
11/30/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.0105766452091,,,,,
12/31/1940,,,,,,,,,,,,,,,,,,,,,,,,-0.00609381315539,,,,,
01/31/1941,,,,,,,,,,,,,,,,,,,,,,,,0.0495719909112,,,,,
02/28/1941,,,,,,,,,,,,,,,,,,,,,,,,0.000197700644806,,,,,
03/31/1941,,,,,,,,,,,,,,,,,,,,,,,,0.0314478280282,,,,,
04/30/1941,,,,,,,,,,,,,,,,,,,,,,,,0.0164899627992,,,,,
05/31/1941,,,,,,,,,,,,,,,,,,,,,,,,-0.00290546146495,,,,,
06/30/1941,,,,,,,,,,,,,,,,,,,,,,,,0.00212943725875,,,,,
07/31/1941,,,,,,,,,,,,,,,,,,,,,,,,0.0956340984662,,,,,
08/31/1941,,,,,,,,,,,,,,,,,,,,,,,,-0.00450951239472,,,,,
09/30/1941,,,,,,,,,,,,,,,,,,,,,,,,-0.0209633364825,,,,,
10/31/1941,,,,,,,,,,,,,,,,,,,,,,,,-0.0121502895524,,,,,
11/30/1941,,,,,,,,,,,,,,,,,,,,,,,,-0.0229656185562,,,,,
12/31/1941,,,,,,,,,,,,,,,,,,,,,,,,-0.0523542657121,,,,,
01/31/1942,,,,,,,,,,,,,,,,,,,,,,,,0.142563249866,,,,,
02/28/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.00147826887735,,,,,
03/31/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.0237058847021,,,,,
04/30/1942,,,,,,,,,,,,,,,,,,,,,,,,0.00124759228507,,,,,
05/31/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.0245395458195,,,,,
06/30/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.00678293188485,,,,,
07/31/1942,,,,,,,,,,,,,,,,,,,,,,,,0.0288685195563,,,,,
08/31/1942,,,,,,,,,,,,,,,,,,,,,,,,0.0112730641295,,,,,
09/30/1942,,,,,,,,,,,,,,,,,,,,,,,,0.021632562145,,,,,
10/31/1942,,,,,,,,,,,,,,,,,,,,,,,,0.0814438885572,,,,,
11/30/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.0472128733885,,,,,
12/31/1942,,,,,,,,,,,,,,,,,,,,,,,,-0.00396694069828,,,,,
01/31/1943,,,,,,,,,,,,,,,,,,,,,,,,0.106398758412,,,,,
02/28/1943,,,,,,,,,,,,,,,,,,,,,,,,0.08655956188,,,,,
03/31/1943,,,,,,,,,,,,,,,,,,,,,,,,0.0600996219388,,,,,
04/30/1943,,,,,,,,,,,,,,,,,,,,,,,,0.0433156320587,,,,,
05/31/1943,,,,,,,,,,,,,,,,,,,,,,,,0.018225593076,,,,,
06/30/1943,,,,,,,,,,,,,,,,,,,,,,,,-0.00537813110693,,,,,
07/31/1943,,,,,,,,,,,,,,,,,,,,,,,,-0.00697438293883,,,,,
08/31/1943,,,,,,,,,,,,,,,,,,,,,,,,-0.000963101056107,,,,,
09/30/1943,,,,,,,,,,,,,,,,,,,,,,,,0.0148943987043,,,,,
10/31/1943,,,,,,,,,,,,,,,,,,,,,,,,0.00986131010288,,,,,
11/30/1943,,,,,,,,,,,,,,,,,,,,,,,,-0.0407176044446,,,,,
12/31/1943,,,,,,,,,,,,,,,,,,,,,,,,0.020524909678,,,,,
01/31/1944,,,,,,,,,,,,,,,,,,,,,,,,0.0318738326114,,,,,
02/29/1944,,,,,,,,,,,,,,,,,,,,,,,,0.0187908438219,,,,,
03/31/1944,,,,,,,,,,,,,,,,,,,,,,,,0.0187518102815,,,,,
04/30/1944,,,,,,,,,,,,,,,,,,,,,,,,-0.00720526184592,,,,,
05/31/1944,,,,,,,,,,,,,,,,,,,,,,,,0.00528347134116,,,,,
06/30/1944,,,,,,,,,,,,,,,,,,,,,,,,0.00991270032375,,,,,
07/31/1944,,,,,,,,,,,,,,,,,,,,,,,,0.00397307297084,,,,,
08/31/1944,,,,,,,,,,,,,,,,,,,,,,,,-0.0207193773005,,,,,
09/30/1944,,,,,,,,,,,,,,,,,,,,,,,,-0.00288015012513,,,,,
10/31/1944,,,,,,,,,,,,,,,,,,,,,,,,-0.00200994721879,,,,,
11/30/1944,,,,,,,,,,,,,,,,,,,,,,,,0.0165928199709,,,,,
12/31/1944,,,,,,,,,,,,,,,,,,,,,,,,0.0614870497222,,,,,
01/31/1945,,,,,,,,,,,,,,,,,,,,,,,,0.0114876236998,,,,,
02/28/1945,,,,,,,,,,,,,,,,,,,,,,,,0.0289962016995,,,,,
03/31/1945,,,,,,,,,,,,,,,,,,,,,,,,-0.00164479416735,,,,,
04/30/1945,,,,,,,,,,,,,,,,,,,,,,,,0.0121815187343,,,,,
05/31/1945,,,,,,,,,,,,,,,,,,,,,,,,0.00847954461691,,,,,
06/30/1945,,,,,,,,,,,,,,,,,,,,,,,,0.057531187024,,,,,
07/31/1945,,,,,,,,,,,,,,,,,,,,,,,,-0.0204440240812,,,,,
08/31/1945,,,,,,,,,,,,,,,,,,,,,,,,-0.0465248708642,,,,,
09/30/1945,,,,,,,,,,,,,,,,,,,,,,,,0.00708920623151,,,,,
10/31/1945,,,,,,,,,,,,,,,,,,,,,,,,0.0212224691908,,,,,
11/30/1945,,,,,,,,,,,,,,,,,,,,,,,,0.0337979254091,,,,,
12/31/1945,,,,,,,,,,,,,,,,,,,,,,,,-0.0201624687784,,,,,
01/31/1946,,,,,,,,,,,,,,,,,,,,,,,,0.0274422052007,,,,,
02/28/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.00488233640392,,,,,
03/31/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.0060852527847,,,,,
04/30/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.0106518666245,,,,,
05/31/1946,,,,,,,,,,,,,,,,,,,,,,,,0.0168302194412,,,,,
06/30/1946,,,,,,,,,,,,,,,,,,,,,,,,0.0116011340328,,,,,
07/31/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.000553635401103,,,,,
08/31/1946,,,,,,,,,,,,,,,,,,,,,,,,0.00107006365879,,,,,
09/30/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.0236868193041,,,,,
10/31/1946,,,,,,,,,,,,,,,,,,,,,,,,0.0294002502943,,,,,
11/30/1946,,,,,,,,,,,,,,,,,,,,,,,,0.0107438229083,,,,,
12/31/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.010027397641,,,,,
01/31/1947,,,,,,,,,,,,,,,,,,,,,,,,0.0343735076422,,,,,
02/28/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.004090441641,,,,,
03/31/1947,,,,,,,,,,,,,,,,,,,,,,,,0.00549114947108,,,,,
04/30/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.0093189835882,,,,,
05/31/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.00736717648323,,,,,
06/30/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.00319990106821,,,,,
07/31/1947,,,,,,,,,,,,,,,,,,,,,,,,0.0249628514223,,,,,
08/31/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.00353818814501,,,,,
09/30/1947,,,,,,,,,,,,,,,,,,,,,,,,0.0127640700774,,,,,
10/31/1947,,,,,,,,,,,,,,,,,,,,,,,,0.00176976099612,,,,,
11/30/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.00537198829379,,,,,
12/31/1947,,,,,,,,,,,,,,,,,,,,,,,,0.0218615479098,,,,,
01/31/1948,,,,,,,,,,,,,,,,,,,,,,,,0.0344515669857,,,,,
02/29/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.00620546461773,,,,,
03/31/1948,,,,,,,,,,,,,,,,,,,,,,,,0.0431331847328,,,,,
04/30/1948,,,,,,,,,,,,,,,,,,,,,,,,0.0196204176619,,,,,
05/31/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.00510901026237,,,,,
06/30/1948,,,,,,,,,,,,,,,,,,,,,,,,0.00469824325898,,,,,
07/31/1948,,,,,,,,,,,,,,,,,,,,,,,,0.00545098100284,,,,,
08/31/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.00123356759919,,,,,
09/30/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.0105007371125,,,,,
10/31/1948,,,,,,,,,,,,,,,,,,,,,,,,0.000388982865255,,,,,
11/30/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.0466482235414,,,,,
12/31/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.0263435929096,,,,,
01/31/1949,,,,,,,,,,,,,,,,,,,,,,,,0.0276994879371,,,,,
02/28/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.0157261833405,,,,,
03/31/1949,,,,,,,,,,,,,,,,,,,,,,,,0.0144692210453,,,,,
04/30/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.00922140931844,,,,,
05/31/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.0285421423619,,,,,
06/30/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.0111106535722,,,,,
07/31/1949,,,,,,,,,,,,,,,,,,,,,,,,0.0065012022282,,,,,
08/31/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.0122231173929,,,,,
09/30/1949,,,,,,,,,,,,,,,,,,,,,,,,0.0117507296835,,,,,
10/31/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.000277328108814,,,,,
11/30/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.0197047871961,,,,,
12/31/1949,,,,,,,,,,,,,,,,,,,,,,,,0.018661878078,,,,,
01/31/1950,,,,,,,,,,,,,,,,,,,,,,,,0.023458119475,,,,,
02/28/1950,,,,,,,,,,,,,,,,,,,,,,,,-0.00909620161232,,,,,
03/31/1950,,,,,,,,,,,,,,,,,,,,,,,,-0.018590466039,,,,,
